date,rainfall,temperature,humidity
2010-01-31,7.23,661.6,1692.89
2010-02-28,6.38,727.82,1244.19
2010-03-31,0.06,947.95,982.08
2010-04-30,3.0100000000000002,1005.7,965.03
2010-05-31,22.86,1054.48,1160.28
2010-06-30,128.34,890.87,1831.73
2010-07-31,317.53,788.77,2562.19
2010-08-31,224.13,782.76,2641.18
2010-09-30,196.74,737.92,2619.11
2010-10-31,67.14,735.87,2657.18
2010-11-30,42.32,681.97,2613.03
2010-12-31,12.74,583.39,2387.78
2011-01-31,0.05,603.01,1936.1000000000001
2011-02-28,6.0,657.79,1619.72
2011-03-31,2.0,879.87,1106.73
2011-04-30,4.83,921.36,1204.89
2011-05-31,10.23,1043.17,1030.11
2011-06-30,48.38,875.72,1733.29
2011-07-31,209.68,812.34,2359.0
2011-08-31,201.79,789.2,2521.67
2011-09-30,59.28,753.19,2471.06
2011-10-31,48.54,768.17,2322.61
2011-11-30,3.96,689.12,1839.95
2011-12-31,0.6,680.96,1493.78
2012-01-31,2.5700000000000003,707.68,1474.3799999999999
2012-02-29,0.0,735.38,1008.32
2012-03-31,0.31,882.37,705.24
2012-04-30,17.03,964.99,1136.87
2012-05-31,7.15,1072.81,916.0
2012-06-30,105.01,887.83,1655.49
2012-07-31,198.88,806.55,2358.33
2012-08-31,135.73,788.36,2471.43
2012-09-30,118.94000000000001,750.79,2501.59
2012-10-31,67.42,729.52,2380.14
2012-11-30,34.17,677.99,2126.75
2012-12-31,0.0,683.59,1878.88
2013-01-31,2.25,719.73,1576.69
2013-02-28,22.09,684.04,1407.6
2013-03-31,0.21999999999999997,887.36,1089.87
2013-04-30,48.800000000000004,932.4399999999999,1270.04
2013-05-31,15.47,1052.18,1140.68
2013-06-30,171.75,802.59,2203.54
2013-07-31,234.07999999999998,783.17,2486.62
2013-08-31,142.77,766.53,2602.32
2013-09-30,153.51000000000002,742.16,2559.4900000000002
2013-10-31,205.59,735.7,2649.92
2013-11-30,11.63,623.92,2468.79
2013-12-31,0.0,577.66,2232.4500000000003
2014-01-31,0.0,641.44,2149.52
2014-02-28,3.82,650.97,1420.98
2014-03-31,51.17,823.24,1577.57
2014-04-30,12.71,959.53,972.33
2014-05-31,47.44,990.72,1385.84
2014-06-30,44.82,936.79,1494.6200000000001
2014-07-31,140.71,843.83,2162.97
2014-08-31,207.02,825.08,2287.64
2014-09-30,83.84,742.59,2475.71
2014-10-31,37.56,764.58,2220.27
2014-11-30,6.22,682.92,1853.76
2014-12-31,2.7399999999999998,657.4,1632.28
2015-01-31,4.92,646.61,1476.51
2015-02-28,2.1,676.95,1163.3799999999999
2015-03-31,19.06,861.98,1330.46
2015-04-30,67.10000000000001,892.63,1402.07
2015-05-31,7.23,1039.04,1103.07
2015-06-30,92.41,856.66,1894.28
2015-07-31,45.23,889.95,1891.5
2015-08-31,80.56,843.74,2183.2
2015-09-30,108.98,792.33,2241.58
2015-10-31,9.1,833.87,1890.84
2015-11-30,3.78,755.98,1780.25
2015-12-31,0.28,745.32,1519.3700000000001
2016-01-31,1.78,706.16,1320.06
2016-02-29,0.8200000000000001,776.5,1225.21
2016-03-31,0.22999999999999998,924.61,1179.73
2016-04-30,4.5,1002.67,927.74
2016-05-31,68.66,1009.71,1373.27
2016-06-30,131.46,849.95,1992.87
2016-07-31,147.58,812.4,2375.2
2016-08-31,80.96000000000001,817.15,2323.13
2016-09-30,261.24,739.25,2528.42
2016-10-31,43.15,703.73,2439.3
2016-11-30,0.03,621.4399999999999,1944.1100000000001
2016-12-31,0.8300000000000001,636.32,1678.71
2017-01-31,0.0,665.48,1367.7
2017-02-28,0.0,702.71,880.72
2017-03-31,7.52,885.06,1052.45
2017-04-30,2.93,993.06,762.39
2017-05-31,37.64,1044.83,1155.7
2017-06-30,134.29,846.22,2032.47
2017-07-31,179.28,824.5,2283.9900000000002
2017-08-31,170.81,785.84,2502.62
2017-09-30,161.4,760.8100000000001,2514.42
2017-10-31,91.25,747.98,2566.18
2017-11-30,1.4,652.06,2227.19
2017-12-31,0.0,621.79,1803.22
2018-01-31,0.0,661.11,1172.27
2018-02-28,0.05,694.37,991.46
2018-03-31,0.49,904.54,895.0
2018-04-30,34.16,947.92,1226.21
2018-05-31,27.6,1023.42,1302.44
2018-06-30,113.02,858.18,1902.1
2018-07-31,100.25999999999999,825.52,2199.16
2018-08-31,144.29,799.62,2351.62
2018-09-30,88.30000000000001,772.88,2265.21
2018-10-31,22.82,788.72,1955.53
2018-11-30,0.25,733.8,1647.33
2018-12-31,19.88,671.4,1725.94
2019-01-31,22.2,650.77,1468.7
2019-02-28,0.61,696.78,1317.99
2019-03-31,1.65,921.49,1069.7
2019-04-30,27.27,975.8,1061.9
2019-05-31,15.03,1076.44,975.8100000000001
2019-06-30,61.019999999999996,923.11,1631.35
2019-07-31,117.12,847.13,2169.52
2019-08-31,180.75,800.6,2476.73
2019-09-30,194.95,765.82,2502.29
2019-10-31,123.56,747.83,2705.69
2019-11-30,4.04,659.66,2437.5
2019-12-31,5.13,649.31,2351.88
2020-01-31,12.94,678.71,2020.92
2020-02-29,3.7300000000000004,702.8,1455.46
2020-03-31,16.669999999999998,886.36,1361.2
2020-04-30,21.58,956.45,1154.5
2020-05-31,44.21,1039.82,1183.3700000000001
2020-06-30,175.26,834.3,2107.59
2020-07-31,249.75,797.74,2567.86
2020-08-31,291.65,780.69,2696.28
2020-09-30,214.92,751.52,2649.35
2020-10-31,181.48,743.36,2687.11
2020-11-30,13.23,635.56,2549.08
2020-12-31,0.0,589.05,2448.91
2021-01-31,1.13,659.07,2338.08
2021-02-28,1.8900000000000001,629.14,1477.17
2021-03-31,0.0,870.54,978.5699999999999
2021-04-30,19.64,939.36,1109.77
2021-05-31,34.519999999999996,982.9,1477.3
2021-06-30,166.5,819.23,2144.73
2021-07-31,302.82,800.01,2562.23
2021-08-31,173.87,785.51,2624.07
2021-09-30,237.5,749.69,2610.39
