date,rainfall,temperature,humidity
2000-01-01,0.0,21.55,60.78
2000-01-02,0.0,21.33,57.89
2000-01-03,0.0,21.47,52.08
2000-01-04,0.0,20.46,34.73
2000-01-05,0.0,21.14,47.04
2000-01-06,0.0,21.09,31.95
2000-01-07,0.0,20.01,24.32
2000-01-08,0.0,20.54,33.93
2000-01-09,0.0,21.94,49.17
2000-01-10,0.0,22.48,53.51
2000-01-11,0.0,22.47,55.25
2000-01-12,0.0,23.04,57.89
2000-01-13,0.02,24.91,53.38
2000-01-14,0.0,25.69,53.17
2000-01-15,0.0,26.69,43.73
2000-01-16,0.0,26.15,48.64
2000-01-17,0.0,24.88,44.15
2000-01-18,0.0,24.48,43.07
2000-01-19,0.0,23.98,25.7
2000-01-20,0.0,25.22,17.99
2000-01-21,0.0,25.14,32.69
2000-01-22,0.0,24.5,50.99
2000-01-23,0.0,24.09,44.19
2000-01-24,0.0,23.4,31.14
2000-01-25,0.0,23.02,51.42
2000-01-26,0.0,23.25,59.34
2000-01-27,0.0,23.06,57.43
2000-01-28,0.0,23.28,50.89
2000-01-29,0.0,23.39,34.92
2000-01-30,0.0,22.33,15.61
2000-01-31,0.0,22.5,36.33
2000-02-01,0.0,23.56,54.86
2000-02-02,0.0,23.55,53.47
2000-02-03,0.0,24.81,53.63
2000-02-04,0.0,25.68,55.34
2000-02-05,0.0,26.12,54.77
2000-02-06,0.05,25.86,40.46
2000-02-07,0.12,25.37,31.81
2000-02-08,0.15,26.04,58.39
2000-02-09,0.0,26.89,56.13
2000-02-10,0.0,27.17,53.24
2000-02-11,0.0,26.45,53.14
2000-02-12,0.0,26.93,44.0
2000-02-13,1.13,26.55,57.15
2000-02-14,0.23,26.33,54.47
2000-02-15,0.0,26.1,56.71
2000-02-16,0.0,26.86,55.66
2000-02-17,0.0,27.2,43.66
2000-02-18,0.0,26.38,32.19
2000-02-19,1.64,26.38,38.57
2000-02-20,0.84,25.82,55.59
2000-02-21,3.05,25.33,71.37
2000-02-22,0.88,25.56,69.11
2000-02-23,0.63,25.17,67.32
2000-02-24,1.06,25.34,70.03
2000-02-25,34.69,24.56,76.58
2000-02-26,8.59,23.7,80.42
2000-02-27,0.24,24.11,74.17
2000-02-28,0.14,24.22,65.89
2000-02-29,0.06,24.1,48.6
2000-03-01,0.0,25.29,37.38
2000-03-02,0.0,25.56,36.91
2000-03-03,0.0,26.32,35.73
2000-03-04,0.0,26.26,38.04
2000-03-05,0.0,25.68,45.88
2000-03-06,0.0,25.41,41.61
2000-03-07,0.0,25.66,51.62
2000-03-08,0.0,26.58,53.31
2000-03-09,0.0,26.38,36.69
2000-03-10,0.0,25.89,22.92
2000-03-11,0.0,27.71,31.51
2000-03-12,0.0,27.73,43.47
2000-03-13,0.0,27.92,39.13
2000-03-14,0.0,27.36,35.75
2000-03-15,0.0,27.99,35.19
2000-03-16,0.0,28.08,29.57
2000-03-17,0.0,28.42,37.71
2000-03-18,0.0,29.11,47.16
2000-03-19,0.0,29.05,46.01
2000-03-20,0.0,29.72,38.75
2000-03-21,0.0,29.48,40.52
2000-03-22,0.0,28.8,46.17
2000-03-23,0.0,29.19,42.94
2000-03-24,0.0,29.08,41.83
2000-03-25,0.0,28.7,26.72
2000-03-26,0.08,28.01,40.94
2000-03-27,0.0,28.68,47.07
2000-03-28,0.38,29.06,44.15
2000-03-29,0.0,29.05,39.21
2000-03-30,0.0,29.8,30.75
2000-03-31,0.0,29.13,31.05
2000-04-01,0.0,29.1,48.32
2000-04-02,0.0,30.35,51.51
2000-04-03,0.0,31.25,46.32
2000-04-04,0.0,31.28,41.65
2000-04-05,0.05,31.8,43.65
2000-04-06,0.03,32.37,40.24
2000-04-07,0.0,31.71,44.44
2000-04-08,0.0,31.92,46.46
2000-04-09,0.18,34.35,28.81
2000-04-10,0.02,33.94,23.15
2000-04-11,0.0,33.79,36.56
2000-04-12,0.0,33.21,36.28
2000-04-13,0.06,33.93,39.62
2000-04-14,0.14,34.91,34.1
2000-04-15,0.02,35.06,28.63
2000-04-16,0.13,34.17,38.12
2000-04-17,0.06,34.08,37.4
2000-04-18,0.0,33.27,40.26
2000-04-19,0.0,32.71,35.53
2000-04-20,0.0,32.91,31.1
2000-04-21,0.0,33.45,28.19
2000-04-22,0.0,34.54,21.07
2000-04-23,0.0,34.64,24.49
2000-04-24,0.0,34.93,20.56
2000-04-25,0.0,34.12,19.49
2000-04-26,0.0,35.06,18.89
2000-04-27,0.0,35.8,17.97
2000-04-28,0.0,35.65,17.88
2000-04-29,0.0,35.36,21.43
2000-04-30,0.0,35.01,25.19
2000-05-01,0.0,35.11,27.01
2000-05-02,0.0,35.24,31.81
2000-05-03,0.18,35.31,32.67
2000-05-04,0.0,33.43,36.97
2000-05-05,13.74,31.71,47.03
2000-05-06,1.78,30.74,56.78
2000-05-07,14.36,29.0,64.77
2000-05-08,0.73,28.5,64.65
2000-05-09,0.0,30.17,54.48
2000-05-10,0.0,31.94,49.87
2000-05-11,0.01,31.16,54.61
2000-05-12,0.0,32.77,43.09
2000-05-13,0.0,33.24,37.88
2000-05-14,0.0,33.54,33.2
2000-05-15,0.33,34.41,32.45
2000-05-16,3.77,31.41,45.06
2000-05-17,0.02,31.08,40.39
2000-05-18,0.0,31.95,44.49
2000-05-19,0.42,31.54,45.69
2000-05-20,0.01,32.35,43.04
2000-05-21,0.0,33.61,38.1
2000-05-22,0.0,32.41,43.41
2000-05-23,1.91,32.26,46.41
2000-05-24,10.36,27.44,72.75
2000-05-25,0.8,26.97,75.35
2000-05-26,0.08,27.25,70.37
2000-05-27,0.02,28.86,61.8
2000-05-28,0.0,29.23,61.63
2000-05-29,0.0,29.93,58.21
2000-05-30,1.94,28.71,64.45
2000-05-31,0.75,29.15,59.52
2000-06-01,0.29,28.27,63.03
2000-06-02,18.37,28.05,65.79
2000-06-03,2.66,28.28,67.33
2000-06-04,5.96,27.33,72.55
2000-06-05,16.84,26.77,79.8
2000-06-06,24.49,26.32,80.99
2000-06-07,3.47,26.6,76.41
2000-06-08,0.52,27.2,68.12
2000-06-09,0.03,28.6,66.2
2000-06-10,0.14,27.28,75.73
2000-06-11,43.83,26.15,82.83
2000-06-12,15.23,24.56,86.8
2000-06-13,0.42,26.54,72.83
2000-06-14,0.01,27.29,69.75
2000-06-15,0.0,27.27,69.21
2000-06-16,0.05,27.63,68.5
2000-06-17,0.59,26.78,72.44
2000-06-18,3.34,25.11,78.27
2000-06-19,4.68,25.55,75.84
2000-06-20,6.11,26.3,75.79
2000-06-21,3.19,26.23,78.48
2000-06-22,0.83,24.55,80.3
2000-06-23,0.5,26.29,72.38
2000-06-24,0.04,27.36,69.27
2000-06-25,0.1,27.46,66.06
2000-06-26,0.21,26.37,71.6
2000-06-27,1.48,26.8,74.3
2000-06-28,5.65,25.13,79.84
2000-06-29,28.32,24.45,84.27
2000-06-30,47.54,24.69,87.72
2000-07-01,0.55,25.42,78.35
2000-07-02,4.13,24.34,82.87
2000-07-03,10.72,24.78,84.54
2000-07-04,4.44,26.71,79.06
2000-07-05,2.33,25.82,84.19
2000-07-06,2.4,25.9,82.22
2000-07-07,1.33,25.06,85.82
2000-07-08,1.32,25.19,83.86
2000-07-09,0.25,25.76,78.34
2000-07-10,0.9,24.94,81.95
2000-07-11,17.18,25.38,80.41
2000-07-12,13.9,25.11,82.33
2000-07-13,1.02,25.9,75.17
2000-07-14,0.29,26.11,76.51
2000-07-15,0.0,26.01,75.19
2000-07-16,0.42,25.71,75.91
2000-07-17,1.04,25.18,78.89
2000-07-18,0.58,25.83,75.46
2000-07-19,0.09,25.59,76.26
2000-07-20,0.09,26.37,74.67
2000-07-21,0.0,26.34,74.14
2000-07-22,3.62,26.6,73.85
2000-07-23,0.27,26.43,73.87
2000-07-24,0.12,25.93,75.29
2000-07-25,0.07,26.41,74.04
2000-07-26,0.01,25.79,75.01
2000-07-27,1.09,25.8,75.23
2000-07-28,0.98,26.19,74.96
2000-07-29,2.63,26.84,75.83
2000-07-30,0.39,26.16,78.65
2000-07-31,0.0,26.54,74.42
2000-08-01,0.05,26.85,71.91
2000-08-02,0.02,27.37,68.87
