date,rainfall,temperature,humidity
2010-01-01,0.0,13.86,42.11
2010-01-02,0.0,14.86,35.82
2010-01-03,3.39,14.6,46.18
2010-01-04,0.0,12.14,55.99
2010-01-05,0.0,11.99,54.04
2010-01-06,0.0,13.22,45.95
2010-01-07,0.0,13.84,41.13
2010-01-08,0.0,13.3,48.9
2010-01-09,0.0,12.43,41.08
2010-01-10,0.0,12.39,37.37
2010-01-11,0.0,13.34,34.19
2010-01-12,0.06,14.19,28.38
2010-01-13,3.62,10.93,74.08
2010-01-14,0.0,10.85,59.46
2010-01-15,0.0,12.58,35.37
2010-01-16,0.0,13.37,31.44
2010-01-17,0.0,14.96,26.76
2010-01-18,0.0,15.73,26.54
2010-01-19,0.0,15.34,26.42
2010-01-20,0.0,13.76,28.55
2010-01-21,0.0,14.45,26.84
2010-01-22,0.0,15.96,26.56
2010-01-23,0.0,15.83,30.97
2010-01-24,0.0,15.86,37.01
2010-01-25,0.0,15.71,40.44
2010-01-26,0.0,16.48,32.47
2010-01-27,0.0,17.04,35.81
2010-01-28,0.0,16.46,44.0
2010-01-29,0.0,17.06,41.74
2010-01-30,0.0,16.43,37.71
2010-01-31,0.0,14.6,31.56
2010-02-01,0.0,16.21,30.34
2010-02-02,0.0,15.89,32.3
2010-02-03,0.0,15.02,33.27
2010-02-04,0.0,15.79,31.69
2010-02-05,0.0,16.95,35.06
2010-02-06,0.0,18.36,34.41
2010-02-07,0.0,18.16,37.02
2010-02-08,7.17,18.43,49.7
2010-02-09,3.24,16.59,55.98
2010-02-10,0.0,13.21,40.77
2010-02-11,0.0,14.79,40.63
2010-02-12,7.21,15.76,54.64
2010-02-13,0.03,16.33,62.49
2010-02-14,0.0,15.51,34.68
2010-02-15,0.0,16.54,42.91
2010-02-16,0.0,18.64,44.78
2010-02-17,0.0,14.3,29.35
2010-02-18,0.0,14.79,29.03
2010-02-19,0.0,16.29,28.27
2010-02-20,0.0,17.74,27.91
2010-02-21,0.0,19.92,28.55
2010-02-22,0.39,21.14,35.03
2010-02-23,1.44,19.28,58.19
2010-02-24,0.0,20.34,45.94
2010-02-25,0.0,20.71,40.36
2010-02-26,0.0,21.58,37.94
2010-02-27,0.0,23.03,34.2
2010-02-28,0.0,23.89,33.08
2010-03-01,0.0,25.63,28.26
2010-03-02,0.0,24.92,29.32
2010-03-03,0.0,24.01,25.53
2010-03-04,0.09,23.95,31.85
2010-03-05,0.03,23.17,32.96
2010-03-06,0.12,23.03,28.17
2010-03-07,0.39,23.02,35.47
2010-03-08,0.0,21.31,33.62
2010-03-09,0.0,21.87,29.16
2010-03-10,0.0,22.58,24.45
2010-03-11,0.0,23.13,20.21
2010-03-12,0.0,24.07,19.82
2010-03-13,0.0,24.76,21.94
2010-03-14,0.0,25.79,19.89
2010-03-15,0.0,26.66,18.64
2010-03-16,0.0,27.02,16.29
2010-03-17,0.0,26.13,19.05
2010-03-18,0.0,26.98,20.37
2010-03-19,0.0,27.76,22.6
2010-03-20,0.0,28.79,20.73
2010-03-21,0.0,30.44,14.62
2010-03-22,0.0,30.24,12.44
2010-03-23,0.0,29.94,13.32
2010-03-24,0.0,30.17,13.5
2010-03-25,0.0,30.57,15.28
2010-03-26,0.0,31.0,14.68
2010-03-27,0.0,29.64,17.95
2010-03-28,0.0,29.1,16.54
2010-03-29,0.0,30.11,13.01
