date,rainfall,temperature,humidity
2000-01-31,0.02,717.48,1353.32
2000-02-29,53.5,742.14,1626.73
2000-03-31,0.46,861.1,1215.69
2000-04-30,0.6900000000000001,1004.67,987.31
2000-05-31,51.21,970.42,1537.94
2000-06-30,234.89,797.21,2232.43
2000-07-31,72.16,800.14,2417.29
2000-08-31,374.96999999999997,785.49,2525.44
2000-09-30,66.03,756.28,2489.19
2000-10-31,35.82,769.32,2323.32
2000-11-30,9.1,690.56,2073.58
2000-12-31,1.44,664.42,1507.42
2001-01-31,6.38,705.01,1513.05
2001-02-28,0.0,731.01,862.4
2001-03-31,33.35,902.14,1347.01
2001-04-30,24.31,930.48,1364.94
2001-05-31,5.93,1066.05,1038.92
2001-06-30,156.92,832.01,1982.41
2001-07-31,62.62,851.6700000000001,2052.77
2001-08-31,182.29,786.79,2490.95
2001-09-30,141.1,775.02,2416.96
2001-10-31,128.12,745.85,2548.7
2001-11-30,4.61,685.17,2291.06
2001-12-31,2.56,639.64,1968.46
2002-01-31,11.969999999999999,683.49,1895.02
2002-02-28,0.92,704.99,1377.81
2002-03-31,11.1,912.58,1146.26
2002-04-30,1.75,992.43,1061.25
2002-05-31,80.98,1026.55,1367.84
2002-06-30,126.66000000000001,854.78,2021.78
2002-07-31,76.86,861.16,2083.13
2002-08-31,180.2,795.58,2433.55
2002-09-30,34.42,811.8,2089.0
2002-10-31,134.26,778.83,2301.92
2002-11-30,4.45,692.76,1838.82
2002-12-31,1.75,692.0,1740.78
2003-01-31,0.18,716.84,1665.24
2003-02-28,5.04,746.02,1446.37
2003-03-31,11.29,908.41,1290.0
2003-04-30,19.69,963.99,1155.39
2003-05-31,4.02,1082.5,786.29
2003-06-30,73.0,916.48,1613.32
2003-07-31,208.01,809.78,2415.5
2003-08-31,138.73,792.41,2507.86
2003-09-30,72.64,771.36,2411.22
2003-10-31,145.71,770.33,2448.28
2003-11-30,1.8900000000000001,661.08,2216.5099999999998
2003-12-31,8.68,642.21,2022.0
2004-01-31,29.11,667.08,1975.87
2004-02-29,2.63,693.09,1414.98
2004-03-31,18.869999999999997,911.53,1141.78
2004-04-30,64.43,934.96,1372.39
2004-05-31,51.93,914.41,1883.73
2004-06-30,32.0,860.47,1848.1200000000001
2004-07-31,191.71,810.5600000000001,2349.4
2004-08-31,52.88,820.34,2277.03
2004-09-30,123.78,777.76,2383.33
2004-10-31,75.21000000000001,760.5,2393.71
2004-11-30,2.08,687.5,1956.94
2004-12-31,0.0,662.45,1768.78
2005-01-31,32.95,716.65,1782.76
2005-02-28,1.44,717.3100000000001,1282.91
2005-03-31,11.969999999999999,893.39,1220.39
2005-04-30,29.97,934.16,1393.92
2005-05-31,43.05,1022.15,1280.96
2005-06-30,92.49,887.15,1848.77
2005-07-31,310.54,802.78,2487.34
2005-08-31,131.3,782.9,2602.9900000000002
2005-09-30,195.82000000000002,752.59,2593.05
2005-10-31,230.57,746.17,2661.86
2005-11-30,3.22,578.15,2376.19
2005-12-31,1.56,591.11,2267.05
2006-01-31,0.01,628.97,1938.61
2006-02-28,0.0,679.04,1268.14
2006-03-31,41.85,860.2,1550.39
2006-04-30,52.87,942.77,1291.91
2006-05-31,89.09,972.64,1613.25
2006-06-30,98.41,834.72,2092.97
2006-07-31,153.97,836.99,2212.02
2006-08-31,156.6,780.99,2530.06
2006-09-30,209.67,762.27,2484.56
2006-10-31,40.82,757.61,2485.44
2006-11-30,62.79,664.28,2479.29
2006-12-31,0.29,647.01,2248.18
2007-01-31,0.0,672.18,1901.63
2007-02-28,0.36,695.91,1354.01
2007-03-31,0.02,906.34,1253.62
2007-04-30,20.61,954.23,1220.73
2007-05-31,25.3,1051.59,1142.09
2007-06-30,235.87,842.3,2110.44
2007-07-31,89.55,813.73,2433.12
2007-08-31,220.4,793.58,2523.59
2007-09-30,227.96,749.27,2615.18
2007-10-31,37.41,700.67,2486.02
2007-11-30,4.8,622.83,2216.94
2007-12-31,0.68,659.98,2122.56
2008-01-31,0.1,665.6,1677.08
2008-02-29,44.0,706.22,1700.05
2008-03-31,148.99,832.2,1590.4
2008-04-30,9.71,885.39,1507.34
